,country,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,data_quality
128,Montserrat,9.25,46.25,5.55,,1.85,,1.85,1.85,3.31,2.24,2.04,4.44,,,,,,,,,1.48,5.55,,11.1,,,2.41,1.11,,7.4,0.19,,,11100.63,18501.05,84.18,0.09,71.04,,,,111.01,,,,129.51,,379.27,314.52,444.03,555.03,,,1665.09,,0.0
129,Morocco,2.6996875,18.30655172413793,5.0,2.4417241379310344,2.970322580645161,1.3512903225806452,0.5065625,0.3171875,0.626875,0.44548387096774195,1.1358620689655172,1.1734375,6.844827586206897,3.9083870967741934,7.0684375,1.01,0.9259375,0.5071875,0.51375,0.425625,0.4534375,0.317,0.5315625,6.307241379310344,1.7955555555555553,2.2025,3.3778125,0.4713636363636363,13.401,0.615625,0.5833333333333334,3.8241666666666667,1.146875,22536.77666666667,19957.914444444446,37.772333333333336,0.15161290322580645,30.130967741935482,25.92,19.773529411764706,5.295384615384616,93.87142857142858,2887.183076923077,27.521290322580644,32.218275862068964,58.72571428571428,51.74214285714286,223.75035714285715,137.72,389.3937037037037,236.70214285714286,1079.7413636363638,627.309090909091,361.8136,4.827407407407407,0.25
130,Mozambique,11.430000000000001,55.792500000000004,4.31,1.0459999999999998,1.548,1.8925,0.9359999999999999,0.6900000000000001,1.564,1.162,1.51,2.0919999999999996,17.54,4.246,5.73,2.05,0.97,1.3525,1.54,0.9880000000000001,1.1,0.7525,0.78,14.1,1.032,1.7080000000000002,2.35,0.23,13.18,3.52,3.92,24.59,1.16,32889.58,24068.13,77.9,0.05000000000000001,123.73,59.25,27.41,12.53,282.02,4429.85,24.540000000000003,70.22,74.39,117.46,729.4449999999999,320.20000000000005,1260.57,906.33,3248.65,1931.61,261.03,22.8125,0.125
131,Myanmar,2.94,15.0,5.41,1.19,1.8,2.05,0.44499999999999995,0.32,1.32,1.82,1.74,1.175,4.34,5.46,10.16,1.65,0.57,1.98,1.54,1.47,1.92,1.8,0.56,6.0,1.1,1.78,1.2,6.07,23.88,1.91,0.31,3.58,0.71,,,33.75,0.01,76.88,44.685,,3.425,,3900.0,,17.0,128.0,100.0,366.525,283.46000000000004,801.4649999999999,690.3299999999999,,51.13,550.56,13.0,0.0
132,Namibia,9.434999999999999,35.735,5.075,1.285,1.3,1.62,0.645,0.605,1.17,0.73,1.6,1.9100000000000001,5.48,4.83,6.795,1.955,1.5,1.455,1.32,1.0050000000000001,0.765,1.65,0.95,3.8600000000000003,1.04,1.625,2.605,0.71,22.44,0.825,0.84,4.46,1.19,11435.105,14293.885,80.525,0.05,55.46,36.81,9.45,4.87,121.5,3308.37,49.31,23.34,108.86500000000001,55.74,398.44,317.125,863.2,676.9200000000001,714.6949999999999,500.28499999999997,682.5350000000001,11.14,0.5
133,Nauru,10.87,33.98,10.19,5.44,8.15,4.08,1.36,0.85,6.8,2.04,,,,13.59,10.19,13.59,20.39,13.59,,,,,1.7,,,,12.23,,,,,,1.22,,,271.83,,,0.0,,,,,,,,,1698.95,1698.95,,,,,611.62,,0.0
134,Nepal,1.9127272727272726,13.32888888888889,5.635555555555555,2.502727272727273,3.7689999999999997,1.39375,0.4272727272727273,0.17727272727272728,0.6554545454545454,0.4081818181818182,0.5690909090909091,1.3463636363636364,6.183636363636364,2.8045454545454547,3.7455555555555557,1.6809090909090907,0.7336363636363636,0.9627272727272728,0.49727272727272726,0.3981818181818182,0.5227272727272727,0.19111111111111112,0.22272727272727275,5.0488888888888885,1.8829999999999998,2.69625,2.069090909090909,0.26285714285714284,8.200000000000001,2.197142857142857,0.59625,2.97875,1.041111111111111,35976.91,38562.005,21.092,0.02090909090909091,13.792000000000002,19.645555555555557,6.3875,2.3145454545454545,31.64727272727273,998.935,16.39090909090909,14.761000000000001,31.090999999999998,27.439,78.07875,51.91375,162.505,106.16875,2025.3500000000001,1028.9650000000001,190.505,12.11,0.09090909090909091
135,Netherlands,17.004716981132077,66.18173076923077,9.330961538461539,5.125,4.150961538461538,3.119811320754717,2.6117307692307694,2.106153846153846,1.0707407407407408,1.890377358490566,2.030754716981132,2.176851851851852,11.104814814814814,8.563703703703704,24.27622641509434,2.6394339622641505,1.414074074074074,1.4679245283018867,2.6876923076923074,1.1026923076923079,0.9494230769230769,0.8348076923076924,0.7575471698113208,6.0635849056603774,1.2371698113207545,1.7301923076923076,8.513396226415093,3.644871794871795,110.31783783783784,4.860816326530612,2.312448979591837,32.44425531914894,2.225,28216.952653061224,27527.097551020408,229.55759999999998,0.163,44.312641509433966,33.18976190476191,20.02235294117647,11.899230769230769,1487.9224,6471.070869565217,83.4366037735849,38.38,94.36557692307693,118.97749999999999,1116.86375,942.7237499999999,1791.7645,1461.7051219512196,4644.157878787879,3547.038484848485,3155.3819512195123,2.3697999999999997,0.34545454545454546
136,New Caledonia,17.66,79.47,10.6,7.51,7.06,4.99,2.49,0.95,0.99,1.96,1.61,5.55,12.79,15.67,22.08,3.68,5.73,6.29,4.64,3.42,2.87,3.2,1.13,13.25,2.98,5.3,16.38,2.43,72.14,4.9,1.09,20.2,1.22,26393.53,26785.51,211.78,0.3,59.61,50.33,5.3,10.82,715.26,7505.83,94.93,64.76,86.54,136.87,809.45,626.96,1430.52,1183.27,4106.13,4223.87,2501.94,2.57,1.0
137,New Zealand,15.05695652173913,67.33125,8.890416666666667,5.436521739130434,5.496521739130435,3.141666666666667,2.2382608695652175,1.9704347826086956,1.8591666666666666,1.9095652173913045,2.0050000000000003,4.059166666666667,8.365,8.309166666666668,13.283333333333333,2.3783333333333334,1.9920833333333334,2.7395833333333335,2.99875,2.044166666666667,1.7154166666666668,2.62625,1.1366666666666667,10.2475,2.6350000000000002,3.2158333333333338,23.34304347826087,2.1973684210526314,73.9525,2.143913043478261,1.7643478260869565,38.30444444444444,1.81,23982.383478260872,21607.091363636366,124.88875,0.24818181818181817,53.92791666666667,41.336,13.194666666666668,10.717083333333333,580.8728571428571,9000.778823529412,68.25083333333333,43.375416666666666,96.85875,110.7675,855.2563157894737,655.9672222222222,1426.4945,1146.7747619047618,3479.030625,3012.2564705882355,3383.9655,3.7641666666666667,0.28
138,Nicaragua,3.954444444444445,23.55,5.231111111111111,1.3399999999999999,2.2433333333333336,1.8655555555555554,0.8344444444444444,0.5788888888888889,0.9455555555555555,1.0366666666666666,1.11,1.7577777777777779,3.5144444444444445,4.37,6.124444444444444,4.275555555555556,1.2033333333333334,1.895,1.3066666666666666,1.4744444444444447,1.7244444444444444,0.8133333333333334,0.8344444444444444,6.77,1.0285714285714287,1.8785714285714286,2.75625,0.5666666666666667,24.86,0.74875,0.63875,5.8225,1.2866666666666666,17335.38666666667,20710.38666666667,45.23625,0.29,42.00625,18.745,15.0,4.343333333333334,94.38333333333333,4516.5,39.03,34.54777777777778,53.361111111111114,54.43222222222222,203.544,157.074,350.91333333333336,272.51666666666665,1102.78,868.51,271.865,14.024000000000001,0.1
139,Niger,4.02,30.82,9.64,2.01,3.21,2.41,1.53,0.86,2.45,0.54,0.92,2.22,16.06,9.78,4.55,3.48,1.29,2.25,1.55,1.07,0.56,0.6,1.22,8.03,1.37,2.14,2.41,0.32,12.05,0.48,0.48,160.64,0.9,0.0,23161.83,374.83,0.11,12.05,40.16,4.02,4.02,910.31,4819.27,40.16,45.52,40.16,40.16,540.78,359.06,600.47,501.28,240963.67,80321.22,211.51,11.0,0.0
140,Nigeria,1.3564516129032258,14.177037037037039,5.097666666666667,0.7513333333333333,1.100967741935484,1.7117857142857142,0.35161290322580646,0.24612903225806454,2.3476923076923075,0.9406666666666667,2.2855172413793103,1.6706666666666665,3.782777777777778,3.5392592592592593,3.6092857142857144,3.1984615384615385,1.4076923076923078,1.0110714285714286,1.41,1.7092592592592593,1.4223076923076923,0.7004761904761905,0.42733333333333334,4.179333333333333,0.637037037037037,0.912,0.8734999999999999,0.3672222222222222,20.46818181818182,1.2044444444444444,1.0647368421052632,3.205294117647059,0.3772413793103448,14149.123076923077,24915.38333333333,19.421818181818182,0.04521739130434783,42.685833333333335,24.745625,7.056153846153847,4.866785714285714,85.9824,1152.5479166666667,14.701538461538462,25.693703703703704,49.66703703703703,56.06111111111112,714.2284999999999,435.17272727272723,1673.6942105263158,854.6168181818182,2704.70375,3069.1533333333336,132.615,16.48705882352941,0.06451612903225806
141,North Korea,4.27,20.49,3.13,,,1.81,1.68,1.99,0.26,0.55,4.4,1.74,,6.61,11.01,2.2,2.2,2.2,2.2,2.2,2.2,1.0,0.3,6.0,,,18.88,0.65,,2.0,0.5,,1.28,27250.0,25470.0,,,,,,18.02,,,27.23,,48.03,,,198.78,,,4700.0,6400.0,3000.0,,0.0
142,North Macedonia,3.7936363636363635,16.194999999999997,3.070909090909091,1.4127272727272728,1.7731818181818182,1.0931818181818183,1.0530434782608695,0.7418181818181818,0.9356521739130435,0.5065217391304347,1.0477272727272728,1.6765217391304348,5.355652173913044,4.439565217391304,7.241739130434783,0.6277272727272728,1.0072727272727273,0.8600000000000001,0.989090909090909,0.5561904761904761,0.5,0.45099999999999996,0.3982608695652174,3.6852173913043482,0.8036363636363636,1.0713636363636363,2.4928571428571424,0.643076923076923,18.605833333333333,0.8734782608695653,0.5204545454545454,4.189473684210526,1.2417391304347825,17864.9495,17966.16523809524,114.92590909090909,0.11869565217391305,16.00521739130435,16.787,9.344666666666667,3.3004545454545453,72.96818181818182,1741.25,43.73608695652174,27.672608695652176,67.95391304347827,64.02,172.79444444444445,125.43277777777777,279.46,215.86529411764707,909.0464705882353,708.2441176470588,376.24894736842106,4.578571428571429,0.17391304347826086
143,Norway,18.7472,87.2788,12.6656,9.507916666666667,8.57,4.4239999999999995,3.2432,2.812,2.0263999999999998,2.8724000000000003,2.8024,3.8492,11.4052,13.0552,28.8952,2.9596,2.316,2.9504,3.6784000000000003,2.1728,2.3291999999999997,2.4192,2.2132,15.9016,3.4915999999999996,4.4844,13.988,3.858095238095238,63.573,10.246521739130435,1.7122222222222223,52.6875,2.1208,35805.47,34107.54909090909,212.46291666666664,0.1075,54.373333333333335,42.371818181818185,33.806428571428576,13.775217391304347,339.74782608695654,5994.914,84.95291666666667,43.530869565217394,103.22958333333334,133.65791666666667,949.950909090909,735.7447619047618,1623.8966666666668,1239.4595454545454,5430.561,3905.5989999999997,3278.3345,2.9004166666666666,0.28
144,Oman,4.976666666666667,26.232,6.426666666666667,7.688,8.572,3.9883333333333333,0.71,0.26666666666666666,2.4899999999999998,1.1428571428571428,2.095,3.44,8.133333333333333,4.590000000000001,7.840000000000001,2.1228571428571428,1.99,1.7671428571428573,1.5,1.6742857142857144,1.218,1.57,0.5666666666666667,28.385714285714283,4.695,9.254999999999999,5.883333333333334,1.625,51.95,3.6350000000000002,0.9533333333333335,10.9625,0.5933333333333334,18917.7,19328.954999999998,98.812,0.19000000000000003,83.25166666666667,62.778,20.2625,8.786666666666667,186.3216666666667,5362.064,52.001666666666665,37.145,89.74333333333334,72.19333333333334,394.33,296.175,830.4466666666667,496.57166666666666,1445.3666666666668,740.26,1839.1850000000002,4.333333333333333,0.14285714285714285
145,Pakistan,1.1932432432432432,10.299142857142856,3.3457894736842104,2.189032258064516,3.4848387096774194,1.1335135135135135,0.2115789473684211,0.16342105263157894,0.5243589743589744,0.42641025641025637,0.7361538461538462,0.9202631578947368,5.421621621621622,1.9916216216216216,3.167894736842105,0.8241025641025641,0.4633333333333333,0.6211111111111111,0.508157894736842,0.2661538461538462,0.3028205128205128,0.2697058823529412,0.2825641025641025,1.491142857142857,1.1516666666666666,1.7044444444444444,1.0142105263157895,0.17966666666666667,6.552,0.6302857142857143,0.18837837837837837,1.336666666666667,0.7789473684210527,11438.64,14985.830277777779,52.00578947368421,0.011578947368421053,20.512941176470587,10.323461538461537,4.8636,3.062777777777778,22.586111111111112,727.0111764705882,13.107837837837838,17.857297297297297,37.536944444444444,25.21756756756757,73.76208333333334,45.62434782608696,174.88750000000002,110.18,734.3946153846155,455.31565217391307,154.27033333333333,12.809722222222222,0.23076923076923078
146,Panama,5.25,33.4,5.8,1.75,3.15,2.636,1.3119999999999998,1.064,1.518,1.966,1.9625,1.982,7.268000000000001,5.302,7.176,2.81,1.188,2.438,2.81,1.6940000000000002,1.8699999999999999,1.146,1.504,8.8,1.108,1.584,6.470000000000001,0.3666666666666667,29.310000000000002,1.4,1.47,17.75,0.8779999999999999,20700.0,17286.25,83.53999999999999,0.17500000000000002,38.653999999999996,33.32,34.792500000000004,5.2,272.5933333333333,11675.0,42.751999999999995,37.410000000000004,63.5,67.05,606.405,369.66999999999996,946.0525,603.5559999999999,1543.6325,1067.7066666666667,751.735,5.68,0.2
147,Papua New Guinea,8.86,44.515,8.355,3.13,5.2625,2.8225,1.14,0.9325,1.9733333333333334,1.325,1.3575,3.715,10.716666666666667,7.415,8.442499999999999,3.94,2.73,1.8725,2.275,3.6966666666666668,2.985,3.215,1.165,8.91,2.22,2.953333333333333,6.316666666666667,0.57,38.34,5.69,1.71,14.22,1.28,45519.2,34613.94,93.4625,0.315,251.305,60.46,22.76,9.25,291.19,5721.91,32.95333333333334,27.74,81.615,60.45666666666667,5088.860000000001,1161.35,3366.52,1049.075,9246.09,20059.54,401.85,13.585,0.2
148,Paraguay,3.9619999999999997,21.058,4.298,0.992,1.8039999999999998,1.636,0.8019999999999999,0.47800000000000004,0.766,0.6799999999999999,0.834,1.718,5.414,3.378,5.462,1.6219999999999999,0.9880000000000001,0.908,1.3439999999999999,0.708,0.736,0.558,0.6719999999999999,5.09,0.8625,1.375,1.5325,0.49,29.045,0.885,1.7349999999999999,5.946666666666666,1.044,16487.29,24973.39,54.38199999999999,0.18,18.45,23.583333333333332,16.86,6.236666666666667,147.79,2216.78,41.56,32.73,74.27,67.19666666666667,318.97,193.53500000000003,739.405,452.78999999999996,1286.16,705.52,302.8533333333333,10.25,0.2
