country,unesco_props,safety_index,quality_of_life,total_population,code,GDP,pop_0_14_%,pop_0_14_%_female,pop_0_14_%_male,pop_15_64_%,pop_15_64_%_female,pop_15_64_%_male,pop_65_plus_%,pop_65_plus_%_female,pop_65_plus_%_male,continent,female_population,male_population,average_cost_rich,average_cost_medium,average_cost_lower,cost_average,meals,market,transports,telecommunications,accomodation
El Salvador,1.0,31.4,64.7,6314167.0,SLV,25.14,25.76153547,23.87033555,27.84192727,66.08785719,66.8368065,65.26398447,8.150607345,9.292857952,6.894088254,North America,3307476.0,3006692.0,748.1500000000001,545.9250000000001,494.715,596.2633333333334,14.1,4.595,7.735000000000001,19.7075,18.343792095147354
Equatorial Guinea,0.0,,37.9,1634466.0,GNQ,15.4,38.76640406,40.75468444,36.99064717,58.08562493,55.60637824,60.2998697,3.147971003,3.638937323,2.709483133,Africa,771091.0,863375.0,642.08,457.215,188.235,429.1766666666667,36.678333333333335,2.88,3.2700000000000005,120.64750000000001,7.191083221079607
Eritrea,1.0,,34.6,3620312.0,ERI,3.87,39.78187515,38.88102408,40.70725821,56.21070781,56.59835637,55.8125028,4.00741704,4.520619557,3.480238991,Africa,1834472.0,1785840.0,,,626.95,626.95,16.046666666666667,1.6933333333333334,3.06,0.1,20.53421822124388
Estonia,2.0,76.2,74.7,1330932.0,EST,26.36,16.46935616,15.2386331,17.83358631,63.1592435,59.55895984,67.15008081,20.37140034,25.20240705,15.01633288,Europe,699703.0,631228.0,431.8332727272728,285.8773787878788,258.78321212121205,325.49795454545455,23.852888888888888,3.7778977272727277,5.027878787878788,11.327083333333334,8.964702052227103
Ethiopia,9.0,49.9,39.7,120283026.0,ETH,49.86,39.96100248,39.37459564,40.54155156,56.90057714,57.18676964,56.61724349,3.138420379,3.438634718,2.841204949,Africa,59839622.0,60443404.0,704.9514999999999,467.872,234.5255,469.1163333333333,12.898000000000001,2.9381250000000003,2.3325,117.20249999999999,10.533602194697245
Falkland Islands,,,,,FLK,0.16,,,,,,,,,,South America,,,,,,,,11.07,8.895,287.23499999999996,20.20567072970398
Faroe Islands,,,,52889.0,FRO,2.32,20.66800911,21.03375279,20.32725214,61.4292332,59.98079109,62.77872131,17.90275769,18.98545611,16.89402655,Europe,25509.0,27380.0,,,,,59.54083333333333,8.669166666666666,13.283333333333331,56.70000000000001,19.47812968864649
Fiji,1.0,44.4,60.6,924610.0,FJI,4.17,28.91269233,28.4691035,29.35364316,65.36889357,65.053501,65.68241052,5.718414098,6.477395504,4.963946313,Oceania,460926.0,463683.0,479.6433333333333,246.45999999999992,208.36999999999995,311.491111111111,18.26888888888889,4.608333333333333,2.7333333333333334,12.725,9.271664969171294
Finland,7.0,72.7,85.9,5541017.0,FIN,276.3,15.42864404,14.9009815,15.96902844,61.67984889,59.84237941,63.56161944,22.89150707,25.25663909,20.46935211,Europe,2803508.0,2737509.0,920.4708148148148,641.3414492753623,613.1388566827696,724.9837069243155,40.51567901234568,6.51362735042735,12.49150997150997,11.38537037037037,21.282780540274924
France,49.0,47.6,79.5,67749632.0,FRA,2902.0,17.37337537,16.44543853,18.36499814,61.30336941,60.10604954,62.58286343,21.32325522,23.44851193,19.05213844,Europe,34998692.0,32750940.0,895.3434326113571,663.3276107437832,633.6909611376545,730.7873348309316,35.38110230961298,5.277021688246583,6.905712938547854,15.056964285714285,21.78319379191262
French Guiana,,,,,,,,,,,,,,,,,,,,,,,32.223333333333336,4.21,14.68,69.37,24.595065216677067
French Polynesia,,,,304032.0,PYF,7.15,21.70922798,21.34944378,22.06076962,68.66316704,68.77331461,68.55554291,9.627604989,9.877241613,9.383687471,Oceania,150255.0,153778.0,1160.5700000000002,783.2499999999998,683.6299999999998,875.8166666666666,35.879999999999995,8.9725,15.470000000000002,48.365,25.62719716134967
Gabon,2.0,,47.2,2341179.0,GAB,20.68,36.42320814,36.89828447,35.96552029,59.67896944,58.91222549,60.41764944,3.897822422,4.18949004,3.616830264,Africa,1148767.0,1192411.0,1113.07,572.6999999999999,505.44,730.4033333333333,44.626666666666665,2.3175,2.39,33.57,21.925124026678056
Gambia,2.0,,49.3,2639916.0,GMB,0.92,43.50260453,42.81587267,44.19648943,54.06125688,54.62748055,53.48913541,2.436138581,2.55664678,2.314375163,Africa,1326796.0,1313119.0,254.26,197.29,93.035,181.5283333333333,9.61,1.36,1.935,46.394999999999996,3.4562374741268846
Georgia,4.0,75.7,62.2,3708610.0,GEO,16.13,21.09431131,19.23135453,23.19365123,64.34894544,62.95533545,65.91938504,14.55674325,17.81331002,10.88696373,Asia,1964929.0,1743681.0,460.4189999999999,320.62875,304.98625000000004,362.01133333333337,19.31458333333333,2.4371875,2.5212499999999998,8.284375,10.828046456615304
Germany,51.0,63.6,83.2,83196078.0,DEU,3820.0,13.87328442,13.31615933,14.4453086,63.95645005,62.0976229,65.86498743,22.17026552,24.58621777,19.68970397,Europe,42146923.0,41049155.0,875.7627955639285,620.4079699355805,580.2551617019905,692.1419757338331,31.486761904761906,3.54771427964831,8.993010733452595,18.13071846534355,20.78692377805962
Ghana,2.0,53.2,63.8,32833031.0,GHA,35.48,37.25488004,36.70438798,37.80812732,59.26835602,59.51121481,59.02428171,3.476763941,3.784397207,3.167590972,Africa,16457496.0,16375536.0,415.2455000000001,95.1775,65.93733333333333,192.1201111111112,8.000666666666666,1.1962499999999998,1.5274999999999999,11.655416666666667,6.909189473338372
Gibraltar,,,,32669.0,GIB,1.85,17.1031084,16.65239726,17.55477248,62.46652076,61.8976272,63.03661713,20.43037084,21.44997554,19.40861039,Europe,16352.0,16317.0,1962.81,1481.7099999999998,1443.11,1629.2099999999998,44.28333333333333,3.375,7.609999999999999,23.345,51.43328843184282
Greece,18.0,52.6,69.9,10641221.0,GRC,246.4,14.06022671,13.3957389,14.7521921,63.43163212,62.8098305,64.07914617,22.50814117,23.7944306,21.16866173,Europe,5428390.0,5212831.0,630.2770173967925,445.16540339146405,404.24166700802186,493.2280292654262,26.004949494949496,3.421170868347339,7.105002801120449,17.185942265795205,13.982748077202302
Greenland,,,,56653.0,GRL,2.16,20.88882172,21.36210131,20.4626094,69.65311239,69.4521576,69.83408238,9.458065893,9.185741088,9.703308215,North America,26844.0,29809.0,1373.36,927.56,726.625,1009.1816666666668,47.541666666666664,11.10125,7.590000000000001,95.74000000000001,27.525708841212996
Guadeloupe,,,,,,,,,,,,,,,,,,,,830.0400000000001,759.47,794.7550000000001,22.483333333333334,3.66,5.324999999999999,29.055,25.96543680389
Guatemala,3.0,41.7,52.2,17109746.0,GTM,58.3,32.92970403,32.14375145,33.73139405,62.16985409,62.51590913,61.81686985,4.900441881,5.340339415,4.451736096,North America,8639673.0,8470073.0,516.1619999999998,453.00999999999993,396.1953333333333,455.1224444444444,17.526666666666667,3.4845,5.3966666666666665,24.024,12.548761923536045
Guinea,1.0,,46.2,13531906.0,GIN,6.77,41.83348598,40.68433775,43.01015248,54.8107894,55.43967939,54.16683961,3.355724611,3.875982863,2.82300791,Africa,6846006.0,6685900.0,721.58,431.87,313.4,488.95,20.666666666666668,3.5,2.4,50.06,13.805237047015146
Guinea-Bissau,0.0,,43.3,2060721.0,GNB,1.04,40.56208968,39.55481766,41.5953937,56.62610319,57.16201647,56.07633974,2.81180713,3.283165869,2.328266563,Africa,1043505.0,1017216.0,,,200.81000000000003,200.81000000000003,8.263333333333334,2.2275,2.205,0.18,8.835134868745277
Guyana,0.0,31.1,56.5,804567.0,GUY,3.14,28.71277345,27.67930908,29.79164735,65.12266847,65.48390669,64.74555776,6.164558079,6.836784233,5.462794895,South America,410932.0,393635.0,503.92,273.705,216.0,331.2083333333333,24.959999999999997,6.10125,3.98,23.2225,8.62387883168512
Haiti,1.0,,34.8,11447569.0,HTI,8.92,32.358119,31.81471963,32.91127626,63.15209806,63.1128513,63.19204957,4.48978294,5.072429072,3.896674168,North America,5774718.0,5672850.0,,522.1075,384.05,453.07875,38.1725,2.8812499999999996,1.7400000000000002,64.38375,14.432844892729245
Honduras,2.0,25.8,55.9,10278345.0,HND,19.37,30.57345173,30.14248445,30.99586231,65.22866448,65.26581169,65.19225481,4.197883794,4.59170386,3.811882881,North America,5087643.0,5190703.0,497.7241515151516,342.00281818181816,243.73555555555552,361.1541750841751,16.733444444444448,3.430277777777778,4.122,43.298686868686865,9.209350461609226
Hong Kong,,78.1,57.4,,HKG,292.7,12.17367328,10.86968797,13.69697953,68.22305617,69.86071243,66.30995792,19.60327055,19.2695996,19.99306255,Asia,3994078.0,3419023.0,2480.5600000000004,1700.5999999999997,1668.33,1949.83,30.206666666666667,7.665,7.779999999999999,11.465,64.78759404671945
Hungary,8.0,65.7,68.7,9709891.0,HUN,129.7,14.55346184,13.60131991,15.58768223,65.02665455,62.19017419,68.10765093,20.41988361,24.2085059,16.30466684,Europe,5055557.0,4654334.0,382.9165992589373,262.85525895852123,248.66148796325632,298.1444487269049,17.152434959349595,2.2888308542232956,3.8801802325581396,6.118501742160278,8.773238868106958
Iceland,3.0,76.5,78.1,372520.0,ISL,16.2,18.62867404,18.56408836,18.69009206,66.44578557,65.51540752,67.33053247,14.92554039,15.92050412,13.97937547,Europe,181577.0,190942.0,1539.9433333333332,1166.0300000000002,1096.2000000000005,1267.3911111111113,48.031666666666666,7.930833333333332,10.111666666666666,30.669166666666666,38.12448664454447
India,40.0,55.4,54.8,1407563842.0,IND,2048.0,25.68759098,25.35611009,25.99833763,67.50994439,67.2721769,67.73283945,6.80246463,7.371713005,6.26882292,Asia,681060412.0,726503429.0,152.4927446066293,96.8994609367388,81.7086020999629,110.36693588111034,7.64452000053087,3.4674435814520432,2.33639942217407,4.217898434363709,3.0954301273004985
Indonesia,9.0,53.9,57.6,273753191.0,IDN,856.1,25.47648568,24.98412269,25.96187762,67.74388285,67.28878579,68.19253647,6.779631475,7.727091514,5.845585909,Asia,135900714.0,137852478.0,288.36215839025675,166.98783843051862,125.06791823308272,193.472638351286,7.488611111111112,5.3882029379003065,1.7222241379310343,16.102995535714285,5.308969581195818
Iran,26.0,50.9,53.0,87923432.0,IRN,402.7,23.81111827,23.46627532,24.14874138,68.81381991,68.61714248,69.00637959,7.375061819,7.916582206,6.844879034,Asia,43496643.0,44426789.0,923.0173238017428,585.8868664902681,561.5011163537996,690.1351022152702,15.235979560622916,1.4319462013645583,1.3043518518518518,10.665407407407407,22.867451251983233
Iraq,6.0,53.0,48.5,43533592.0,IRQ,232.2,38.12091203,37.21804158,39.02124649,58.46926371,58.73633109,58.20294646,3.409824264,4.045627328,2.775807041,Asia,21736184.0,21797409.0,376.3691731601731,233.1434579630896,187.1637792207792,265.558803448014,13.307987012987013,3.646044372294372,3.3222727272727273,17.837175324675325,7.555091938539715
Ireland,2.0,54.5,80.9,5033165.0,IRL,245.8,19.91317202,19.26600618,20.57204222,65.25776663,65.20096343,65.31559715,14.82906135,15.5330304,14.11236062,Europe,2539135.0,2494030.0,1478.342246753247,1170.7842063492062,1113.8028643578643,1254.3097724867728,42.030151515151516,7.465113636363636,9.421168831168831,27.239458874458876,37.88812592860298
Isle Of Man,,81.4,,84263.0,IMN,4.08,14.90206317,14.43754703,15.37539984,63.05933174,62.46825621,63.66163099,22.03860509,23.09419676,20.96296917,Europe,42528.0,41736.0,1304.0100000000002,981.26,945.09,1076.7866666666669,46.97666666666667,6.6675,7.870000000000001,25.145000000000003,32.148700594670956
Israel,9.0,67.9,63.2,9364000.0,ISR,305.0,28.16981887,27.37479181,28.96946059,59.90001302,59.46518715,60.33736279,11.9301681,13.16002104,10.69317661,Asia,4695549.0,4668451.0,1233.1760415966492,915.5351828810828,881.4850009796239,1010.0654084857852,49.32441176470587,6.465828877005348,8.59182934060721,13.928144016227181,30.514627417871075
Italy,58.0,54.8,76.3,59109668.0,ITA,2129.0,12.65183966,11.98782826,13.350205,63.66778311,62.02079407,65.39998241,23.68037723,25.99137767,21.24981259,Europe,30300094.0,28809574.0,748.8934473334668,518.3869814608146,492.6184172372811,586.6329486771875,34.64385271317829,3.371312556323156,9.325528243185385,14.600158006264973,17.10604755709869
Ivory Coast,5.0,,50.0,27478249.0,CIV,33.96,41.79793079,41.94616241,41.6526598,55.79898122,55.66114862,55.9340609,2.403087984,2.392688964,2.413279305,Africa,13600535.0,13877714.0,708.08,310.63,237.26,418.6566666666667,18.743333333333336,2.1925,2.33,28.015,13.091467621644709
Jamaica,1.0,32.2,66.7,2827695.0,JAM,13.92,20.29961157,19.78065518,20.82662872,72.46433446,72.25966367,72.67218432,7.236053966,7.95968115,6.501186962,North America,1424743.0,1402951.0,452.63583333333327,312.70125,268.54999999999995,344.62902777777776,19.879583333333333,5.4046875,3.3112500000000002,18.415625,9.463700977976366
Japan,25.0,77.9,75.8,125681593.0,JPN,4770.0,11.77396642,11.19238474,12.3889388,58.43894367,56.1314374,60.87893216,29.78708991,32.67617786,26.73212904,Asia,64594414.0,61087180.0,702.178092779939,493.95847325515393,447.4276882435594,547.8547514262174,18.21229982635539,3.909073420540812,7.351180272108843,17.730947176684882,16.39663962966663
Jersey,,,,,JEY,5.77,,,,,,,,,,Europe,,,1991.46,1733.37,1688.9,1804.5766666666664,59.04333333333333,7.084999999999999,9.42,29.79,54.04376252587311
Jordan,6.0,59.8,51.1,11148278.0,JOR,36.55,32.60907795,33.26574298,31.99922251,63.66731991,62.71354065,64.55311013,3.723602144,4.020716366,3.447667359,Asia,5368123.0,5780154.0,328.20440476190464,243.34291666666664,197.1020833333333,256.21646825396823,16.502261904761905,6.9113541666666665,2.53625,18.104375,6.5776850543746095
